length,accuracy,balanced_accuracy,auc,f1,brier,ece
5,0.5343253968253968,0.5344871243502223,0.6002227576566448,0.21426179850342222,0.27131709456443787,0.16927698361465618
10,0.5869047619047619,0.5869497333923754,0.6280765980216362,0.5342281829989471,0.24006153643131256,0.046126387272739704
15,0.6001984126984127,0.6002418903103368,0.6433916199596277,0.5511249672275782,0.2353409081697464,0.038748669952508946
20,0.5996031746031746,0.5996536595550748,0.6428639365809928,0.541363631467623,0.23608291149139404,0.04511790493030159
25,0.6023809523809524,0.6024389963504367,0.649840191143895,0.5343866122448957,0.23544684052467346,0.05632340157079318
30,0.6222222222222222,0.6222027938692232,0.6854337814049165,0.6399394806362372,0.22338905930519104,0.024734019186525118
35,0.6446428571428572,0.6446389431567616,0.7092985810812832,0.6482027056637977,0.21690577268600464,0.020900009738074408
40,0.6646825396825397,0.6646744558858821,0.7333717141237897,0.6714618923554985,0.21042531728744507,0.0357742678817539
45,0.694047619047619,0.694044106517167,0.7626564094634054,0.6968147806838315,0.20273971557617188,0.06452281188870232
50,0.7109126984126984,0.7109160385012162,0.7879366320132011,0.7085417033392036,0.19560575485229492,0.07850636433336942
